=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#149: 2 → 1, load=115.9kg
  Req#150: 5 → 1, load=101.9kg
  Req#151: 7 → 1, load=75.1kg
  Req#152: 15 → 1, load=74.7kg
  Req#153: 11 → 1, load=62.3kg
  Req#154: 1 → 8, load=144.7kg
  Req#155: 11 → 1, load=122.2kg
  Req#156: 15 → 1, load=121.6kg
  Req#157: 14 → 1, load=148.5kg
  Req#158: 7 → 1, load=66.2kg
  Req#159: 2 → 1, load=136.5kg
  Req#160: 1 → 12, load=140.2kg
  Req#161: 4 → 1, load=99.2kg
  Req#162: 14 → 1, load=142.8kg
  Req#163: 9 → 1, load=99.2kg
  Req#164: 15 → 1, load=144.1kg
  Req#165: 9 → 1, load=81.9kg
  Req#166: 2 → 1, load=104.5kg
  Req#167: 9 → 1, load=79.1kg
  Req#168: 13 → 1, load=139.2kg
  Req#169: 10 → 1, load=145.3kg
  Req#170: 14 → 1, load=81.6kg
  Req#171: 13 → 1, load=104.2kg
  Req#172: 13 → 1, load=81.9kg
  Req#173: 7 → 1, load=102.6kg
  Req#174: 7 → 1, load=91.7kg
  Req#175: 6 → 1, load=82.6kg
  Req#176: 10 → 1, load=145.6kg
  Req#177: 5 → 1, load=79.5kg
  Req#178: 1 → 10, load=113.7kg
  Req#179: 1 → 15, load=77.5kg
  Req#180: 10 → 1, load=71.4kg
  Req#181: 2 → 1, load=109.8kg
  Req#182: 9 → 1, load=69.2kg
  Req#183: 6 → 1, load=102.2kg
  Req#184: 15 → 1, load=103.0kg
  Req#185: 8 → 1, load=104.3kg
  Req#186: 14 → 1, load=110.7kg
  Req#187: 5 → 1, load=70.7kg
  Req#188: 5 → 1, load=129.8kg
  Req#189: 9 → 1, load=86.8kg
  Req#190: 2 → 1, load=114.9kg
  Req#191: 14 → 1, load=78.7kg
  Req#192: 4 → 1, load=109.7kg
  Req#193: 8 → 1, load=100.5kg
  Req#194: 13 → 1, load=85.4kg
  Req#195: 3 → 1, load=121.9kg
  Req#196: 12 → 1, load=132.4kg
  Req#197: 3 → 1, load=109.0kg
  Req#198: 3 → 1, load=65.4kg
  Req#199: 11 → 1, load=127.4kg
  Req#200: 13 → 1, load=87.4kg
  Req#201: 6 → 1, load=105.0kg
  Req#202: 8 → 1, load=126.1kg
  Req#203: 2 → 1, load=68.2kg
  Req#204: 2 → 1, load=150.0kg
  Req#205: 6 → 1, load=111.9kg
  Req#206: 9 → 1, load=142.4kg
  Req#207: 11 → 1, load=99.2kg
  Req#208: 8 → 1, load=90.0kg
  Req#209: 15 → 1, load=74.5kg
  Req#210: 8 → 1, load=133.2kg
  Req#211: 9 → 1, load=67.9kg
  Req#212: 15 → 1, load=106.3kg
  Req#213: 1 → 12, load=138.2kg
  Req#214: 11 → 1, load=128.1kg
  Req#215: 14 → 1, load=64.6kg
  Req#216: 13 → 1, load=103.6kg
  Req#217: 12 → 1, load=114.8kg
  Req#218: 10 → 1, load=96.7kg
  Req#219: 15 → 1, load=142.2kg
  Req#220: 9 → 1, load=143.9kg
  Req#221: 13 → 1, load=84.6kg
  Req#222: 10 → 1, load=73.0kg
  Req#223: 11 → 1, load=105.7kg
  Req#224: 14 → 1, load=136.9kg
  Req#225: 14 → 1, load=105.7kg
  Req#226: 11 → 1, load=112.2kg
  Req#227: 15 → 1, load=73.4kg
  Req#228: 10 → 1, load=93.9kg
  Req#229: 15 → 1, load=77.0kg
  Req#230: 14 → 1, load=97.0kg
  Req#231: 9 → 1, load=123.5kg
  Req#232: 15 → 1, load=118.7kg
  Req#233: 2 → 1, load=71.4kg
  Req#234: 15 → 1, load=99.6kg
  Req#235: 9 → 1, load=61.4kg
  Req#236: 1 → 3, load=102.3kg
  Req#237: 1 → 7, load=116.1kg
  Req#238: 12 → 1, load=137.3kg
  Req#239: 7 → 1, load=116.4kg
  Req#240: 11 → 1, load=66.2kg
  Req#241: 6 → 1, load=149.8kg
  Req#242: 12 → 1, load=123.4kg
  Req#243: 4 → 1, load=122.5kg
  Req#244: 6 → 1, load=92.3kg
  Req#245: 5 → 1, load=107.8kg
  Req#246: 3 → 1, load=114.9kg
